Zip,Results
60501.0,2
60601.0,323
60602.0,163
60603.0,190
60604.0,137
60605.0,347
60606.0,318
60607.0,809
60608.0,936
60609.0,597
60610.0,518
60611.0,683
60612.0,453
60613.0,583
60614.0,1163
60615.0,482
60616.0,736
60617.0,540
60618.0,676
60619.0,797
60620.0,639
60621.0,250
60622.0,1016
60623.0,832
60624.0,367
60625.0,819
60626.0,519
60628.0,705
60629.0,451
60630.0,379
60631.0,207
60632.0,748
60633.0,58
60634.0,450
60636.0,492
60637.0,458
60638.0,244
60639.0,861
60640.0,886
60641.0,476
60642.0,330
60643.0,413
60644.0,453
60645.0,255
60646.0,169
60647.0,961
60649.0,378
60651.0,541
60652.0,183
60653.0,319
60654.0,481
60655.0,84
60656.0,118
60657.0,972
60659.0,725
60660.0,496
60661.0,341
60666.0,237
60707.0,140
60827.0,20
