Zip,Results
60501.0,1
60601.0,1607
60602.0,716
60603.0,850
60604.0,686
60605.0,1361
60606.0,1610
60607.0,2273
60608.0,2435
60609.0,1962
60610.0,1438
60611.0,2593
60612.0,1287
60613.0,1844
60614.0,2919
60615.0,900
60616.0,2100
60617.0,1789
60618.0,2915
60619.0,1590
60620.0,1575
60621.0,706
60622.0,2658
60623.0,2108
60624.0,905
60625.0,2388
60626.0,1350
60628.0,1530
60629.0,1834
60630.0,1318
60631.0,659
60632.0,2153
60633.0,148
60634.0,1981
60636.0,1047
60637.0,1015
60638.0,1336
60639.0,2350
60640.0,2110
60641.0,1747
60642.0,932
60643.0,1335
60644.0,1053
60645.0,596
60646.0,787
60647.0,2987
60649.0,1006
60651.0,1218
60652.0,905
60653.0,765
60654.0,1689
60655.0,395
60656.0,380
60657.0,2797
60659.0,1864
60660.0,1284
60661.0,1133
60666.0,1361
60707.0,496
60827.0,68
