,Risk,Latitude,Longitude
1,Risk 2 (Medium),41.95213643037515,-87.74742887301954
3,Risk 2 (Medium),41.75624749546245,-87.59059253531423
5,Risk 2 (Medium),41.902331662977616,-87.74045894485229
6,Risk 2 (Medium),41.917988593617956,-87.65378563359226
20,Risk 2 (Medium),41.88408323487089,-87.66026975842354
21,Risk 2 (Medium),41.88408323487089,-87.66026975842354
22,Risk 2 (Medium),41.76915533533597,-87.6268126762725
55,Risk 2 (Medium),41.77335694617281,-87.60837592192955
64,Risk 2 (Medium),41.93855322769927,-87.7765649727826
72,Risk 2 (Medium),41.778360976037604,-87.66433686342792
84,Risk 2 (Medium),42.008536400868735,-87.91442843927048
89,Risk 2 (Medium),41.808395917931094,-87.67672122326663
98,Risk 2 (Medium),41.739860522047465,-87.72145630261183
112,Risk 2 (Medium),41.77900504590168,-87.69345011858015
119,Risk 2 (Medium),41.779173106768134,-87.69698885824074
127,Risk 2 (Medium),42.008536400868735,-87.91442843927048
129,Risk 2 (Medium),41.88743405025222,-87.68184949426895
132,Risk 2 (Medium),41.809722387142145,-87.59938918300287
135,Risk 2 (Medium),41.779577543722404,-87.66417107271984
137,Risk 2 (Medium),41.70715686160742,-87.62007047805109
139,Risk 2 (Medium),41.88743405025222,-87.68184949426895
156,Risk 2 (Medium),41.86958371785205,-87.65325852479263
162,Risk 2 (Medium),41.75032238740821,-87.64418240605828
164,Risk 2 (Medium),41.823886400058726,-87.70428725346805
166,Risk 2 (Medium),41.74386958308603,-87.65370482767794
176,Risk 2 (Medium),41.66318210123056,-87.64156526515666
178,Risk 2 (Medium),41.80063665132042,-87.70927377789698
213,Risk 2 (Medium),42.008536400868735,-87.91442843927048
214,Risk 2 (Medium),41.88440773161879,-87.65368149002035
227,Risk 2 (Medium),42.01909911070414,-87.6735751728977
236,Risk 2 (Medium),41.76824397196663,-87.6831938009329
237,Risk 2 (Medium),42.008536400868735,-87.91442843927048
238,Risk 2 (Medium),41.78727696375553,-87.62413800317614
241,Risk 2 (Medium),42.008536400868735,-87.91442843927048
242,Risk 2 (Medium),41.70658293299433,-87.68148089347169
252,Risk 2 (Medium),42.008536400868735,-87.91442843927048
253,Risk 2 (Medium),41.96866358615272,-87.69602698993899
278,Risk 2 (Medium),41.74386958308603,-87.65370482767794
279,Risk 2 (Medium),41.801095034766824,-87.6767950278781
281,Risk 2 (Medium),41.927833817665174,-87.64165880910542
291,Risk 2 (Medium),41.966569585336494,-87.6870400163612
312,Risk 2 (Medium),41.94731748901496,-87.65641794764645
314,Risk 2 (Medium),41.801095034766824,-87.6767950278781
319,Risk 2 (Medium),41.93674905373119,-87.64791189357628
325,Risk 2 (Medium),41.70715686160742,-87.62007047805109
329,Risk 2 (Medium),41.9328407126909,-87.64851624582589
351,Risk 2 (Medium),41.76732820094002,-87.66400242735762
352,Risk 2 (Medium),41.94731748901496,-87.65641794764645
362,Risk 2 (Medium),41.74386958308603,-87.65370482767794
369,Risk 2 (Medium),42.008536400868735,-87.91442843927048
377,Risk 2 (Medium),41.779375935711215,-87.6640720912977
389,Risk 2 (Medium),41.77898662910161,-87.69475310591024
399,Risk 2 (Medium),41.75848031626892,-87.61721089479008
407,Risk 2 (Medium),41.763022365316885,-87.58639016189062
408,Risk 2 (Medium),41.75032238740821,-87.64418240605828
415,Risk 2 (Medium),41.79957000569888,-87.59623910783128
419,Risk 2 (Medium),41.953263110740345,-87.76931122260137
